"nflId","displayName","position","avg_goe","std_goe","avg_error","n_plays"
54616,"Tyler Allgeier","RB",0.00324350510351563,0.0889295592150758,0.0618911489585275,73
43454,"Tyreek Hill","WR",0.00320478566269247,0.183632300579985,0.151229401869961,258
46104,"Nick Chubb","RB",0.00263260941573687,0.103888734800399,0.0731784199397516,90
44917,"James Conner","RB",0.00253825666195083,0.108434456320075,0.077893808053618,93
43370,"Austin Hooper","TE",0.00231219984339474,0.191093778178741,0.158814863961929,93
47857,"Devin Singletary","RB",0.00224294042851862,0.0946602443736183,0.0690111845651845,150
44995,"Aaron Jones","RB",0.00208331447873498,0.0948659342348256,0.068416687974585,170
46150,"Michael Gallup","WR",0.00197703833448682,0.110642220471906,0.0823682902410751,107
47808,"Marquise Brown","WR",0.00193796217489003,0.15550063571661,0.123396777409217,228
38696,"Marvin Jones","WR",0.00185612407067236,0.13922648714975,0.109278946347072,218
44947,"Jamaal Williams","RB",0.0016836300258085,0.0784192900987556,0.0568888264573289,54
46461,"Mike Boone","RB",0.00165049744401889,0.0923723267028839,0.0579329029098192,52
54508,"Wan'Dale Robinson","WR",0.00129383056035084,0.201382037278153,0.172238356707125,59
46109,"Courtland Sutton","WR",0.00120896574390504,0.143294833620965,0.111882891610322,253
42794,"DeAndre Carter","WR",0.00105947114201641,0.164499757489946,0.137399241534145,241
53456,"Rashod Bateman","WR",0.00104205423239669,0.155743079571827,0.124498031057033,98
45094,"Johnny Mundt","TE",0.000913582872838932,0.175701338550496,0.143881364588179,72
37077,"A.J. Green","WR",0.000896700144883422,0.141158402685823,0.106391356813705,156
52474,"Antonio Gibson","RB",0.000878616809604407,0.0959580952956403,0.0643627428510854,106
45573,"Austin Ekeler","RB",0.000876429775153067,0.0770399830375627,0.0576011062964417,177
53434,"Ja'Marr Chase","WR",0.000480837849634887,0.141380506324053,0.110763165665785,250
46362,"Cam Sims","WR",0.000461429383272875,0.155817321196737,0.11890611157025,126
53536,"Michael Carter","RB",0.000434965487173847,0.105459207389566,0.0725480168619858,124
47920,"Foster Moreau","TE",0.000422011543093845,0.197797423486331,0.172032387460108,121
44856,"Gerald Everett","TE",0.000391853916070759,0.165778728890037,0.143101323476673,218
52673,"Mitchell Wilcox","TE",0.000261683165477236,0.179159365763113,0.142294115169718,54
44879,"Alvin Kamara","RB",0.000104337456762691,0.0674986656535401,0.0492948007072769,141
52449,"Jonathan Taylor","RB",6.16125531809958e-05,0.0871125306144213,0.0633807303583258,113
52441,"Tee Higgins","WR",-0.000225494750650274,0.137457122571031,0.104670159630735,234
41230,"Sammy Watkins","WR",-0.000250160110413106,0.132292107119586,0.0999943701513116,112
41233,"Mike Evans","WR",-0.00105693245843455,0.139640370045196,0.110193474530999,291
53439,"DeVonta Smith","WR",-0.00111665482166699,0.150333285193488,0.118621977160363,218
47853,"Darrell Henderson","RB",-0.00121591732787598,0.0780145265788874,0.0542530562119946,139
54564,"David Bell","WR",-0.00133293961788691,0.177748219500886,0.143431002049148,114
46203,"Chase Edmonds","RB",-0.00133893111846706,0.0965716908175483,0.0705097143581816,98
37079,"Julio Jones","WR",-0.00143183823318435,0.146813712153839,0.116783866904672,78
42372,"Phillip Dorsett","WR",-0.00169716933483436,0.136667256289508,0.108197795147698,79
